Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
1.428256	0.962074	1.034801	1.343727	0.984955	1.014225	1.162810	0.999677	
1.432234	0.937446	1.059256	1.259058	0.998463	0.981711	1.225692	0.964752	
1.483297	0.950728	1.049436	1.377491	0.965041	1.193168	1.167015	0.978424	
1.423226	0.937313	1.073399	1.424793	0.970531	0.989883	1.265756	0.961385	
1.301471	0.936281	1.045706	1.344451	0.977791	1.175745	1.380026	1.003163	
1.494397	0.916939	1.014795	1.330604	1.385698	1.204892	1.178316	1.071554	
1.673861	0.911762	1.028589	1.514813	0.941437	0.992792	1.432764	0.955641	
1.636702	0.933111	1.064077	1.620560	0.944963	0.998313	1.468397	1.002631	
1.511127	0.926003	1.031798	1.590264	0.954400	0.999013	1.428877	0.966104	
1.584481	0.924403	1.057590	1.503771	0.962334	0.992447	1.520042	0.963809	
1.610680	0.928067	1.055896	1.479261	0.949677	0.982424	1.496056	0.979723	
1.555618	0.962435	1.070547	1.578120	0.952440	0.991329	1.438170	0.971980	
1.659911	0.940123	1.063333	1.460638	0.971654	1.003554	1.479367	0.976051	
1.694008	0.937918	1.047972	1.618186	0.948184	1.006363	1.409130	0.980843	
1.579990	0.922519	1.068767	1.677286	0.951847	1.000989	1.488658	0.981444	
1.580364	0.929627	1.051170	1.531215	0.956524	0.985697	1.519919	1.040572	
1.527912	0.930133	1.083878	1.404583	0.954558	0.978961	1.416458	0.963986	
1.584795	0.923190	1.062322	1.441992	0.958353	1.010422	1.284926	0.956641	
1.728034	0.924055	1.047946	1.510273	1.012941	0.999870	1.426704	0.982320	
1.501096	0.924312	1.060001	1.658891	0.959416	1.006195	1.536051	0.997997	
1.445321	0.941593	1.051716	1.476508	0.941382	1.008159	1.538856	0.978884	
1.670469	0.915668	1.059123	1.490850	0.960156	1.058052	1.367700	0.961197	
1.672802	0.944460	1.057923	1.591353	0.970227	0.999932	1.431030	0.985705	
1.680497	0.929750	1.066484	1.600338	0.951054	1.011161	1.485532	0.976559	
1.526081	0.935316	1.059964	1.642612	0.968855	1.004626	1.488034	0.969648	
1.554914	0.945928	1.073243	1.538794	0.946974	0.985050	1.554468	0.976942	
1.621600	0.939614	1.075898	1.504078	0.943283	1.066665	1.454418	0.982500	
1.595515	0.929911	1.091215	1.515921	0.955877	1.018073	1.500675	0.971494	
1.632591	0.933252	1.097643	1.480016	0.944398	1.010703	1.392382	0.963336	
1.653302	0.933183	1.085568	1.587636	0.961902	0.994912	1.375072	0.988978	
1.642026	0.930603	1.065828	1.644464	0.947168	1.001438	1.472999	0.986715	
1.425514	0.941942	1.040861	1.567836	0.954454	0.994542	1.526653	1.000719	
1.411133	0.927293	1.064962	1.443256	0.958706	0.989532	1.380798	0.970259	
1.645441	0.940255	1.083529	1.362264	0.945901	1.005936	1.430761	0.980398	
1.647847	0.930992	1.061507	1.594141	0.940196	0.989308	1.321923	1.006605	
1.553034	0.946270	1.065151	1.608004	0.946482	0.982152	1.499545	0.977899	
1.512696	0.932674	1.062976	1.532447	0.936703	1.002693	1.525188	1.054121	
1.516661	0.928548	1.047947	1.455600	0.948073	0.998692	1.470315	0.978186	
1.560585	0.923821	1.051756	1.551926	0.964291	1.004928	1.496187	0.960864	
1.647102	0.928037	1.056308	1.361151	0.956751	1.016989	1.455362	0.977633	
1.596972	0.937759	1.065259	1.611358	0.954208	0.992741	1.308241	1.002939	
1.605580	0.907994	1.045278	1.596811	0.949996	1.010953	1.512757	0.985133	
1.714997	0.929475	1.009805	1.576882	0.940283	0.998122	1.549284	0.990487	
1.486944	0.927574	1.012136	1.646860	0.946573	0.980416	1.543299	0.968890	
1.635997	0.937051	1.060179	1.526071	0.952864	0.998915	1.509146	1.010322	
1.703629	0.949738	1.059525	1.547679	0.973654	1.006229	1.441685	0.957421	
1.705826	0.969801	1.051116	1.618095	1.004779	0.988862	1.470400	0.975440	
1.585429	0.947671	1.061610	1.628761	0.962265	0.995930	1.533145	0.972009	
1.632444	0.932602	1.036262	1.584501	0.953828	1.081469	1.570922	0.970881	
1.633120	0.935040	1.060224	1.610818	0.958802	0.980422	1.510197	0.969264	
1.670154	0.918653	1.063295	1.596664	0.923072	1.009644	1.522352	0.980115	
1.672520	0.925513	1.037965	1.604431	0.920362	0.985490	1.518540	1.008164	
1.639055	0.928439	1.058200	1.631019	0.934563	1.007770	1.539706	0.981771	
