Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
2.005610	0.918425	1.010483	1.231178	0.932487	1.049728	1.279845	0.954317	
1.801377	0.911368	1.059313	1.250495	0.948353	1.003021	1.153092	0.967171	
1.787870	0.931845	1.026368	1.326148	0.960689	1.052955	1.273974	0.971023	
1.802390	0.954058	1.168929	1.821544	1.185203	1.047618	1.502026	0.998213	
1.906679	1.075409	1.069586	1.834387	0.985253	1.018506	1.530527	0.976817	
1.939311	0.926373	1.086083	1.424104	0.942565	1.024718	1.563414	0.984100	
2.024144	0.936646	1.077912	1.761880	1.173511	1.075532	1.721759	0.995779	
1.997002	0.896676	1.082662	1.619211	0.946518	1.025512	1.365818	0.979544	
2.172996	0.951220	1.118148	1.717089	0.951704	1.036533	1.606201	0.984569	
1.924708	0.940596	1.062128	1.868579	0.933160	1.017867	1.300038	0.988124	
2.084253	0.985520	1.100370	1.781184	0.938609	1.068768	1.549720	1.005673	
2.113629	0.946691	1.067919	1.583333	0.935755	1.023780	1.514816	0.961196	
1.912581	0.920339	1.029841	1.805501	0.936677	1.000726	1.301395	0.965416	
1.999769	0.947003	1.066416	1.498659	0.953352	1.059410	1.667075	0.961750	
2.178360	0.903989	1.066462	1.698524	0.937695	1.005697	1.204934	0.994381	
2.021753	0.924547	1.083967	1.764980	0.959638	1.019078	1.616888	0.967410	
2.060091	0.918567	1.071737	1.735856	0.929397	1.004081	1.357991	0.964231	
1.847989	0.932296	1.086670	1.547818	0.941330	1.000513	1.450013	0.967204	
1.828919	0.904803	1.032194	1.590964	1.014694	0.992523	1.038711	0.978175	
1.865209	0.920221	1.052053	1.642557	0.934748	1.064010	1.542109	0.949227	
1.901991	0.949698	1.083838	1.580190	0.941950	1.010934	1.540429	0.988283	
1.970082	0.907746	1.016683	1.609388	0.936745	0.990300	1.487712	0.958701	
2.012763	0.931376	1.056866	1.661740	0.952043	0.996509	1.794033	0.963138	
1.977958	0.927850	1.034574	1.625301	0.929493	0.984691	1.133390	0.950949	
2.215893	0.944528	1.015912	1.737695	0.969047	1.001799	1.718705	0.945144	
2.203161	0.934930	1.052423	1.917440	0.930079	1.016848	1.578667	0.968892	
1.849596	0.946842	1.058603	1.828399	0.954154	1.003529	1.601813	0.955553	
2.163219	0.949811	1.092591	1.724219	0.932224	1.012189	1.474018	0.996709	
2.132302	0.938586	1.092994	1.611034	0.929871	1.020347	1.478483	0.998005	
1.894266	0.903761	1.064343	1.458778	0.924723	0.989485	1.096192	0.963763	
1.910341	0.929193	1.074787	1.621462	0.990323	1.011820	1.498419	0.968368	
1.648015	0.926795	1.019275	1.470476	0.935023	1.000150	1.645478	0.960474	
2.077354	0.938702	1.032389	1.790761	0.944844	0.999122	1.691417	0.973545	
2.050934	0.926722	1.065790	1.644630	0.921534	1.003473	1.593146	0.963163	
2.025100	0.934734	1.080197	1.631102	0.940523	1.007126	1.460407	0.967552	
2.077347	0.932189	1.077709	1.779411	0.952005	0.997085	1.414088	0.964301	
1.917002	0.924063	1.075133	1.524011	0.954400	1.041013	1.388393	0.958009	
1.775020	0.916187	1.020434	1.509596	0.931107	1.006790	1.368435	0.960760	
2.039466	0.926585	1.035930	1.562630	0.996451	0.985795	1.549861	0.961393	
1.862121	0.928406	1.030088	1.614565	0.950124	0.985705	1.632467	0.964168	
2.247328	0.939081	1.071054	1.712057	0.931060	1.008561	1.698837	0.973698	
2.167656	0.950216	1.081065	1.838744	0.945205	1.007140	1.552670	0.955569	
2.102024	0.920065	1.069778	1.573685	0.933940	1.006905	1.415032	0.961393	
2.063104	0.907929	1.079711	1.644802	0.938801	1.005257	1.397838	1.007223	
1.762878	0.916096	1.049503	1.643488	0.940152	1.004096	1.344029	0.974006	
2.028864	0.898127	1.012584	1.703888	0.928174	0.986733	1.420047	0.957262	
2.046106	0.941554	1.029500	1.911735	0.957553	1.002241	1.825090	0.962005	
2.097853	0.944069	1.062490	1.654879	0.940541	1.009366	1.629337	0.973325	
2.150267	0.932075	1.049256	1.866778	0.936626	0.995979	1.591267	0.963536	
2.077032	0.920421	1.086165	1.644380	0.926513	1.012069	1.547501	0.988588	
2.164610	0.928868	1.098946	1.668361	0.933024	1.012237	1.426203	0.975903	
2.097859	0.945848	1.088122	1.659235	0.942129	1.010508	1.329130	0.969189	
2.167081	0.925464	1.073491	1.744352	0.928058	1.064332	1.502760	0.965975	
1.967380	0.934815	1.083214	1.490375	0.956946	1.006223	1.440402	1.006265	
2.054722	0.932145	1.063565	1.496330	0.952920	0.989235	1.452282	0.951606	
2.150926	0.937661	1.064996	1.816394	0.947615	0.995306	1.392621	0.960184	
1.995144	0.928964	1.073624	1.717272	0.942006	0.997733	1.707424	0.973275	
1.715087	0.933813	1.068190	1.615337	0.945231	0.992299	1.598422	0.962771	
2.054808	0.921121	1.056713	1.576829	0.949838	0.999519	1.556655	0.963791	
1.957764	0.940922	1.082496	1.641192	0.949705	0.978603	1.417357	0.963292	
1.993278	0.922752	1.071006	1.633967	0.954690	1.029638	1.420635	1.022036	
1.894040	0.942304	1.048697	1.425957	0.955804	1.006463	1.631457	0.964191	
1.887939	0.920561	1.035130	1.376462	0.928331	0.976024	1.505466	0.964940	
2.196292	0.911531	1.033958	1.622768	0.944489	1.010986	1.668421	0.960121	
2.187920	0.948043	1.076881	1.791790	0.935252	1.067278	1.587933	0.961517	
