Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
1.491173	0.899998	1.052941	1.575050	0.936780	1.012871	1.289631	0.956884	
1.574671	0.939471	1.053269	1.565861	0.958932	1.020671	1.470580	0.989133	
1.395046	0.920382	1.049914	1.518562	0.955090	1.002233	1.448463	1.021426	
1.516102	1.057029	1.040547	1.373833	0.950824	0.996954	1.370458	1.006562	
1.587954	0.921872	1.013236	1.361950	1.159059	1.026434	1.373384	0.966491	
1.504655	0.928902	1.040720	1.580211	1.341593	1.231594	1.345443	0.964395	
1.557472	0.947990	1.054263	1.631699	0.993305	1.008512	1.491434	0.968060	
1.354192	0.923022	1.055908	1.639025	0.946047	1.008983	1.525548	1.012396	
1.576258	0.926790	1.038375	1.426635	0.938313	0.994850	1.519590	0.969139	
1.588371	0.935477	1.046506	1.601219	0.945223	0.989759	1.331220	1.008037	
1.451487	0.912204	1.052386	1.605720	0.947683	0.996593	1.481605	0.963157	
1.548289	0.946173	1.043176	1.602821	1.009996	1.006818	1.519363	0.983030	
1.286847	0.921564	1.044515	1.620669	0.929917	0.992909	1.515975	0.963478	
1.484175	0.926194	1.056867	1.388986	0.937503	1.105321	1.548270	1.003655	
1.477564	0.937235	1.074950	1.556456	0.960740	1.000023	1.367789	0.993637	
1.366775	0.917023	1.069494	1.462821	0.944658	1.000087	1.468012	0.978338	
1.477403	0.923925	1.052437	1.428237	0.939031	0.994460	1.392568	0.965351	
1.285675	0.920737	1.052078	1.525162	0.935938	1.001121	1.407902	0.969208	
1.376795	0.911844	1.074871	1.546270	1.024351	0.992983	1.358754	0.957897	
1.296857	0.926123	1.055596	1.549373	0.951712	0.996607	1.360533	0.967770	
1.394678	0.919635	1.080447	1.393161	0.936345	0.995747	1.426132	0.966034	
1.347364	0.923107	1.064462	1.433461	0.943546	0.998553	1.372750	0.957900	
1.068003	0.936584	1.039454	1.412709	0.944707	1.000834	1.429295	0.983779	
1.467979	0.934382	1.060435	1.189094	0.944651	0.977224	1.454903	0.969064	
1.301198	0.911835	1.044094	1.527469	0.928478	1.001358	1.159676	0.981622	
1.364423	0.928554	1.057890	1.414530	0.938908	1.064131	1.375808	0.973224	
1.310250	0.956235	1.063498	1.456745	0.939346	1.004991	1.277119	1.018933	
1.387611	0.926238	1.074995	1.285493	0.935065	0.990301	1.438735	0.971392	
1.537454	0.919728	1.044116	1.411218	0.930993	1.003376	1.358298	0.968940	
1.122266	0.928858	1.032739	1.423856	0.941873	1.057534	1.241167	0.963592	
1.317078	0.924220	1.074062	1.598744	0.992896	1.023695	1.441436	1.038647	
1.264218	0.945674	1.067517	1.577285	0.938599	1.007388	1.487396	0.961993	
1.400054	0.941230	1.053988	1.321101	0.945839	1.000051	1.485857	1.010267	
1.336615	0.933472	1.061383	1.565063	0.931607	0.998660	1.288361	0.963790	
1.282468	0.905685	1.061054	1.609501	1.000199	1.003193	1.463854	0.964974	
1.539113	0.932335	1.065851	1.401897	0.929345	1.011963	1.495152	0.960269	
1.526910	0.925623	1.038962	1.545562	0.928305	0.992441	1.313446	0.959597	
1.268745	0.940602	1.044224	1.642330	0.927222	0.993050	1.405375	0.959138	
1.499727	0.943185	1.061756	1.560374	0.921810	1.010061	1.536833	0.979049	
1.451532	0.927590	1.065866	1.490524	0.939041	1.003978	1.444156	0.965535	
1.411549	0.925187	1.049730	1.341150	0.937584	1.007504	1.351116	0.997713	
1.497136	0.917746	1.064944	1.538700	0.938474	0.996250	1.298451	0.978899	
1.331183	0.909867	1.040759	1.658095	1.001187	1.000437	1.328078	1.005168	
1.468002	0.935857	1.029796	1.354766	0.917919	0.988950	1.511531	0.963189	
1.335113	0.920008	1.032811	1.427754	0.942789	1.003125	1.497877	0.962950	
1.475258	0.914313	1.039409	1.502514	0.943869	0.993039	1.433725	0.951776	
1.634008	0.923655	1.043613	1.620946	0.952325	1.001244	1.429773	0.970191	
1.574261	0.922803	1.038022	1.590075	0.936654	0.999697	1.459030	0.962874	
1.711389	0.944926	1.040414	1.622137	0.941214	1.102919	1.481381	0.955456	
1.326057	0.919412	1.031759	1.638202	1.002216	0.995207	1.237299	0.956919	
1.406942	0.929082	1.064181	1.636456	0.951620	1.020821	1.522674	0.978810	
1.363503	0.924558	1.053222	1.603653	0.936342	1.018903	1.551783	0.982617	
1.354634	0.933366	1.059195	1.367065	0.926508	1.027666	1.519997	0.977186	
1.633088	0.896382	1.048310	1.447636	0.947309	1.009073	1.203116	0.980307	
1.440823	0.909610	1.051147	1.622945	0.939095	1.005438	1.309910	0.965458	
1.542903	0.914326	1.068168	1.577574	0.947272	1.009074	1.500296	0.974213	
1.250010	0.912988	1.054033	1.493974	0.928503	1.012376	1.483890	0.967266	
1.349094	0.916840	1.042527	1.247539	1.001178	0.998565	1.511415	0.999988	
1.465422	0.930285	1.054189	1.480730	0.948891	0.984010	1.322624	0.984636	
1.593059	0.919107	1.057261	1.591486	0.942408	1.016265	1.430208	0.963157	
1.597699	0.937896	1.076918	1.487598	0.945158	1.003862	1.495378	0.996396	
1.373627	0.925366	1.065365	1.604346	0.939940	0.998053	1.418517	0.961297	
1.320479	0.922459	1.056203	1.535988	0.932057	0.995897	1.519831	0.980842	
1.422971	0.934213	1.064107	1.369709	0.948618	0.993741	1.391388	0.975440	
1.445963	0.927545	1.049641	1.453063	0.929019	1.090549	1.215620	0.967486	
1.452200	0.937267	1.045236	1.597466	0.938411	0.997995	1.329017	0.988640	
1.302112	0.926103	1.066221	1.504797	0.935141	0.997388	1.504931	0.973374	
1.321427	0.924636	1.056663	1.313579	0.957763	1.000696	1.405880	0.977828	
1.431397	0.942239	1.037590	1.451440	0.921508	1.067247	1.344922	0.947829	
1.558301	0.901120	1.056802	1.411635	0.936342	1.008091	1.242268	0.999713	
1.401371	0.928807	1.071641	1.563036	0.940021	1.013646	1.422831	0.973009	
1.491850	0.925206	1.061412	1.598596	0.935590	1.008934	1.438888	0.964742	
1.315671	0.907479	1.059504	1.575816	0.949971	0.985875	1.473034	0.961420	
1.361742	0.925085	1.030459	1.409797	0.938061	0.993987	1.424527	0.965228	
1.481129	0.889476	1.053185	1.551258	0.936754	0.998649	1.419331	0.963404	
1.404511	0.933868	1.060489	1.584354	0.940820	1.013201	1.462677	0.973854	
1.545823	0.937395	1.054566	1.622852	0.943189	0.996223	1.510730	0.979570	
1.639809	0.921801	1.030068	1.654734	0.960246	1.008497	1.545670	0.978477	
1.419027	0.939306	1.030782	1.588661	0.940322	1.011886	1.544153	0.964173	
1.683105	0.937079	1.067843	1.503491	0.943022	1.003195	1.448182	0.967764	
1.401456	0.921742	1.058144	1.608714	0.950867	1.011744	1.476866	0.976132	
1.526278	0.921795	1.049442	1.589311	0.941075	1.011816	1.488848	0.968883	
1.394874	0.939753	1.035859	1.657876	0.945988	0.993799	1.474574	0.956060	
1.367365	0.948019	1.051081	1.513546	0.948648	0.993360	1.531612	0.960112	
1.369253	0.926810	1.072166	1.441125	0.938715	0.982744	1.428925	0.987440	
1.496146	0.920385	1.072435	1.398999	0.941437	0.986566	1.336492	1.008647	
1.636532	0.918359	1.046940	1.541759	0.951182	0.997741	1.320563	0.970314	
1.455011	0.921546	1.038518	1.621970	0.944658	1.004093	1.439652	0.964194	
1.349292	0.936805	1.060827	1.445877	1.025590	1.001601	1.529455	0.966072	
1.429726	0.921254	1.045350	1.353291	0.928584	1.009002	1.443555	0.963350	
1.492727	0.912601	1.007380	1.551602	0.940900	1.057994	1.274551	0.955624	
1.715466	0.918216	1.028723	1.558943	0.958563	1.004502	1.532451	0.970210	
1.459822	0.936928	1.063565	1.643807	0.935693	1.006181	1.462867	0.974218	
1.486227	0.932462	1.046724	1.584024	0.951123	0.994326	1.519316	0.965947	
1.668743	0.924965	1.055751	1.600273	0.941294	1.007019	1.475203	0.963597	
1.475461	0.911638	1.028276	1.652529	0.954547	1.060885	1.523185	0.966732	
1.525988	0.923705	1.064322	1.526425	0.932961	0.998156	1.532843	0.974005	
1.584861	0.924138	1.056508	1.546597	0.955846	0.995169	1.501452	0.984233	
1.548729	0.919260	1.066041	1.631283	0.947421	1.007664	1.356317	0.978272	
1.368833	0.930697	1.056188	1.577953	0.960670	1.007754	1.487547	1.016001	
1.442236	0.928935	1.048814	1.548176	0.942133	0.994472	1.511348	0.983706	
1.328582	0.924711	1.047534	1.571521	0.953819	1.014093	1.524245	0.958747	
1.376379	0.923001	1.053127	1.447810	0.953485	0.997739	1.474200	0.965924	
1.445452	0.926466	1.058532	1.366145	0.949167	1.001962	1.376295	0.966741	
1.541718	0.919964	1.071326	1.510602	0.936985	1.009885	1.486849	1.014916	
1.318024	0.921901	1.059809	1.486084	0.955135	0.990441	1.348086	0.945072	
1.540832	0.929511	1.033308	1.449797	0.936404	1.003445	1.337860	0.967456	
1.498000	0.937230	1.063002	1.548988	0.936425	1.005633	1.358448	0.995390	
1.317076	0.908957	1.061554	1.452158	0.993417	0.985506	1.429669	0.989407	
1.550893	0.921319	1.042056	1.490978	0.959119	1.010370	1.321088	0.960079	
1.293066	0.923059	1.033601	1.561318	0.940745	1.006712	1.350962	0.968444	
1.375393	0.909024	1.045995	1.435120	0.932738	1.001216	1.435717	0.952913	
1.430079	0.939569	1.046000	1.365797	0.946956	0.989610	1.320970	0.938704	
1.440753	0.927368	1.047835	1.512861	0.935901	0.995619	1.335667	0.968793	
1.437187	0.913011	0.994808	1.494764	0.938871	0.996338	1.395127	0.964675	
1.306770	0.908995	1.008317	1.474513	0.948264	1.009418	1.423059	0.958188	
1.432862	0.927136	1.048648	1.122197	0.928757	1.000140	1.413156	1.024378	
1.496201	0.915648	1.041412	1.416267	0.940735	1.001028	1.145181	0.948467	
1.433618	0.934556	1.036423	1.550912	0.940905	1.008620	1.407462	0.948680	
1.676880	0.909905	1.036183	1.623203	0.936160	1.006690	1.502604	0.964001	
1.281849	0.911814	1.013913	1.639827	0.946431	1.001909	1.492373	1.004788	
1.499124	0.914934	0.999922	1.592741	0.940887	1.004683	1.550280	0.967171	
1.514398	0.892652	1.054254	1.458335	0.941798	1.009880	1.439952	0.950142	
1.406924	0.940797	1.073501	1.499180	0.949042	0.988047	1.440995	1.020951	
1.531932	0.921754	1.046011	1.474634	0.926005	1.012464	1.483276	0.987582	
1.669650	0.925927	1.025673	1.579060	0.927237	1.003038	1.468151	0.963197	
1.503149	0.943353	1.047881	1.641608	0.943059	1.015001	1.515401	0.966406	
1.368029	0.934706	1.057669	1.585016	1.000711	1.029288	1.479630	0.982211	
1.507441	0.902777	1.071299	1.399799	0.934811	1.016808	1.499605	0.972415	
1.319890	0.917818	1.057166	1.496514	0.933274	1.003708	1.401085	0.973107	
1.588470	0.911406	1.024449	1.453630	0.934549	1.061002	1.426737	0.960081	
1.360043	0.903240	1.024744	1.584556	0.947185	0.976838	1.301279	0.952125	
1.398235	0.905415	1.029974	1.612844	0.928388	1.006184	1.348086	0.953083	
1.388950	0.915480	1.056887	1.409074	0.947172	1.011022	1.406686	0.954996	
1.564813	0.906735	1.042432	1.573339	0.941309	1.071442	1.331142	0.963286	
1.325449	0.918219	1.034225	1.597241	0.942127	0.996985	1.471991	0.948086	
1.473246	0.916960	1.037388	1.465646	0.946169	1.012318	1.498910	0.971606	
1.331443	0.916677	1.045911	1.587522	0.962398	1.012920	1.542326	0.959730	
1.340545	0.913954	1.027874	1.484870	0.945660	0.986456	1.510457	1.147385	
1.572696	0.914723	1.025625	1.527389	0.993939	0.992846	1.390119	0.956286	
1.574125	0.919003	1.034769	1.658535	0.940089	1.006179	1.380488	0.951716	
1.628237	0.924258	1.020175	1.642480	0.940829	1.023160	1.546284	0.965947	
1.344996	0.912796	1.025293	1.649986	0.932777	1.047425	1.412048	0.955415	
1.630073	0.918411	1.054575	1.444248	0.941354	0.993934	1.503691	0.964274	
1.344351	0.924634	1.042139	1.608312	0.929340	1.011738	1.453609	0.961389	
1.436347	0.920303	1.042252	1.369712	0.934606	0.984298	1.460406	0.968279	
1.482968	0.919738	1.026943	1.636472	0.952830	0.993966	1.320644	0.969164	
1.590838	0.941437	1.031442	1.599674	0.986970	1.010827	1.535222	0.966591	
1.479283	0.927103	1.019535	1.446961	0.934691	0.985830	1.529921	0.963423	
1.354406	0.927895	1.042911	1.554607	0.938895	1.001991	1.401728	0.977036	
