bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
18129890273	691087	14	8	693221	11217851	2125753	9092098	2264388367	365803
18130603940	691087	18	8	693221	11218214	2125812	9092402	2264424224	365803
18131295076	691088	18	8	693222	11218587	2125871	9092716	2264461869	365802
18132119671	691088	21	8	693222	11218940	2125914	9093026	2264498160	365802
18132508597	691088	17	8	693222	11219306	2125978	9093328	2264534950	365802
18132945360	691088	17	8	693222	11219675	2126030	9093645	2264572111	365802
18133629343	691088	18	8	693222	11220067	2126087	9093980	2264610730	365802
18134396866	691088	19	8	693222	11220453	2126156	9094297	2264648754	365802
18135125303	691088	19	8	693222	11220823	2126212	9094611	2264685605	365802
18135809760	691088	20	8	693222	11221203	2126270	9094933	2264722825	365802
18136425007	691088	17	8	693222	11221571	2126327	9095244	2264760395	365802
18137217012	691088	15	8	693222	11221957	2126385	9095572	2264798779	365802
18137857392	691088	20	8	693222	11222339	2126445	9095894	2264836343	365802
18138666419	691088	19	8	693222	11222725	2126504	9096221	2264874065	365802
18139232618	691088	17	8	693222	11223086	2126553	9096533	2264911025	365802
18140076229	691088	17	8	693222	11223459	2126606	9096853	2264948217	365802
18140744310	691088	18	8	693222	11223843	2126668	9097175	2264986317	365802
18141676547	691088	22	8	693222	11224225	2126725	9097500	2265023814	365802
18142524852	691088	21	8	693222	11224606	2126783	9097823	2265061623	365802
18143346223	691088	17	8	693222	11224978	2126838	9098140	2265098933	365802
18143937855	691088	19	8	693222	11225351	2126893	9098458	2265136552	365802
18144637561	691089	19	8	693223	11225745	2126949	9098796	2265175341	365802
18145130478	691089	17	8	693223	11226105	2127006	9099099	2265211713	365802
18145612431	691089	17	8	693223	11226465	2127059	9099406	2265248339	365802
18146154690	691089	19	8	693223	11226845	2127123	9099722	2265286047	365802
18146723352	691089	17	8	693223	11227224	2127185	9100039	2265324061	365802
18147444729	691089	20	8	693223	11227609	2127245	9100364	2265361873	365802
18148170399	691089	16	8	693223	11227962	2127289	9100673	2265397021	365802
18148962071	691089	20	8	693223	11228357	2127340	9101017	2265435647	365802
18149787426	691089	17	8	693223	11228738	2127390	9101348	2265473418	365802
18150336357	691089	18	8	693223	11229108	2127454	9101654	2265510905	365802
18150946279	691089	19	8	693223	11229475	2127511	9101964	2265547463	365802
18151919829	691089	21	8	693223	11229870	2127567	9102303	2265586117	365802
18152515121	691089	17	8	693223	11230241	2127616	9102625	2265623558	365802
18152966713	691089	15	8	693223	11230598	2127672	9102926	2265660279	365802
18153428330	691089	18	8	693223	11230977	2127735	9103242	2265697960	365802
18153896165	691089	19	8	693223	11231332	2127790	9103542	2265734605	365802
18154734806	691089	17	8	693223	11231705	2127849	9103856	2265771218	365802
18155401743	691089	17	8	693223	11232065	2127901	9104164	2265808022	365802
18155897130	691089	18	8	693223	11232444	2127964	9104480	2265845933	365802
18156300783	691089	20	8	693223	11232815	2128022	9104793	2265882880	365802
18156983978	691089	16	8	693223	11233186	2128073	9105113	2265919936	365802
18157579257	691089	16	8	693223	11233553	2128135	9105418	2265957127	365802
18158196264	691089	20	8	693223	11233936	2128190	9105746	2265995078	365802
18158816712	691091	18	8	693225	11234292	2128240	9106052	2266065762	365801
18159296730	691091	20	8	693225	11234663	2128296	9106367	2266102964	365801
18159996973	691091	19	8	693225	11235049	2128365	9106684	2266141075	365801
18160654790	691091	16	8	693225	11235441	2128437	9107004	2266179630	365801
18161278291	691091	16	8	693225	11235802	2128491	9107311	2266215747	365801
18162001586	691091	19	8	693225	11236175	2128542	9107633	2266253006	365801
18162833894	691091	17	8	693225	11236567	2128600	9107967	2266291640	365801
18163419751	691091	15	8	693225	11236944	2128654	9108290	2266329160	365801
18164195252	691091	18	8	693225	11237313	2128713	9108600	2266365673	365801
18164736380	691091	20	8	693225	11237690	2128777	9108913	2266403456	365801
18165325835	691091	21	8	693225	11238089	2128835	9109254	2266441817	365801
18166069045	691092	16	8	693226	11238461	2128904	9109557	2266479332	365800
18166602598	691092	19	8	693226	11238832	2128968	9109864	2266516311	365800
18167207063	691092	18	8	693226	11239196	2129019	9110177	2266553239	365800
18167958336	691092	20	8	693226	11239565	2129071	9110494	2266590255	365800
18168509051	691092	16	8	693226	11239941	2129131	9110810	2266627834	365800
18169190316	691092	15	8	693226	11240320	2129192	9111128	2266665668	365800
18169762527	691092	21	8	693226	11240711	2129248	9111463	2266703633	365800
18170396276	691092	20	8	693226	11241075	2129298	9111777	2266740346	365800
18171118561	691092	18	8	693226	11241459	2129355	9112104	2266778786	365800
18172001693	691092	17	8	693226	11241828	2129407	9112421	2266816048	365800
18172528383	691092	19	8	693226	11242217	2129466	9112751	2266854135	365800
18173280509	691092	20	8	693226	11242618	2129522	9113096	2266892694	365800
18174213496	691092	18	8	693226	11242995	2129575	9113420	2266929875	365800
18174813000	691092	20	8	693226	11243370	2129640	9113730	2266967369	365800
18175600003	691092	19	8	693226	11243751	2129691	9114060	2267005571	365800
18176353013	691092	16	8	693226	11244130	2129751	9114379	2267043648	365800
18176884288	691092	21	8	693226	11244482	2129798	9114684	2267079135	365800
18177613149	691092	20	8	693226	11244850	2129850	9115000	2267115716	365800
18178206723	691092	16	8	693226	11245225	2129900	9115325	2267154289	365800
18179238833	691092	15	8	693226	11245610	2129969	9115641	2267192388	365800
18179916138	691092	17	8	693226	11245990	2130029	9115961	2267229567	365800
18180508825	691092	22	8	693226	11246372	2130078	9116294	2267267405	365800
18181068064	691092	17	8	693226	11246743	2130135	9116608	2267304819	365800
18181715216	691092	16	8	693226	11247113	2130195	9116918	2267342243	365800
18182400812	691092	18	8	693226	11247487	2130250	9117237	2267379525	365800
18183165720	691092	20	8	693226	11247885	2130319	9117566	2267418584	365800
18183985653	691092	17	8	693226	11248249	2130374	9117875	2267454730	365800
18184704286	691092	16	8	693226	11248630	2130422	9118208	2267492046	365800
18185439236	691092	18	8	693226	11248996	2130473	9118523	2267529499	365800
18186120968	691092	21	8	693226	11249384	2130533	9118851	2267567390	365800
18186612949	691092	17	8	693226	11249748	2130593	9119155	2267604248	365800
18187125411	691092	21	8	693226	11250117	2130653	9119464	2267641062	365800
18187826781	691092	18	8	693226	11250506	2130714	9119792	2267680014	365800
18188408645	691092	17	8	693226	11250886	2130777	9120109	2267717815	365800
18189402159	691092	15	8	693226	11251255	2130825	9120430	2267754960	365800
18190017277	691092	18	8	693226	11251630	2130883	9120747	2267792325	365800
18190969337	691092	19	8	693226	11252024	2130946	9121078	2267830570	365800
18191623567	691092	18	8	693226	11252390	2131002	9121388	2267867810	365800
18192275996	691092	18	8	693226	11252770	2131065	9121705	2267904901	365800
18192920605	691092	19	8	693226	11253160	2131128	9122032	2267943310	365800
18193434537	691092	19	8	693226	11253523	2131178	9122345	2267979510	365800
18194311275	691092	18	8	693226	11253900	2131237	9122663	2268017504	365800
18195152935	691093	17	8	693227	11254281	2131294	9122987	2268055599	365799
